,제목,가사
13,Will We Make It Last,<인디>넌 모를거 야나의 마음을 내 맘 가득히 채워준 그대 하지만 그대가 내 곁을 떠나 갈까 난 지금 두려운 마음뿐이야 이것만은 기억해 얼마나 오래 너를 찾았었는지 다신 놓치고 싶지 않아 동화 속 우릴 상상해봐요 해피엔딩으로 만들어 가요 하지만 그 후에도 우린 행복할까요 언제나 함께 있을까요 이것만은 기억해 얼마나 오래 너를 찾았었는지 다신 놓치고 싶지 않아 영원한 사랑은 어려운 걸 알지만 이렇게 얘기해주고 싶었어 우리 사이 멀어질까 두렵지만 너를 사랑하고 싶어 
14,Night Drive,<인디>이 아름다운 밤이 나를 위로해 주네 이 길을 계속 달리고 싶어 감미로운 음악을 너와 함께 들으며 이 길은 우릴 어디로 데려가는지 어딜 가든 상관없어 난 절대 멈추고 싶지 않아 화려한 별빛들과 눈부신 전조등들이 이 길 위에 끝없이 펼쳐지고 있어 다가가고 싶어 저기 도시의 불빛 무엇이 우리를 기다리고 있는지 궁금해 어디든지 상관없어 난 절대 멈추고 싶지 않아 희미해진 기억에 나는 꿈을 꾸는 걸까 만약 그렇다면 날 깨우지 말고 이 더없는 행복 영원히 머물게 해줘 밤새도록 상관없어 난 절대 멈추고 싶지 않아
15,나의 여인아 (Won't You Change Your Mind),<인디>너의 빈자리 채우려고 난 누군가를 찾고 있었지 이젠 우리 돌이킬 수 없기에 지친 날 위로하고 싶었지 한때 너는 내 마음에 가득했었지 그때 나는 사랑을 멈출 수 없었지 그런 사랑 다신 못할 꺼야 너 같은 여자 이젠 만날 수 없을 꺼야 나의 여인아 돌아온다면 난 달려갈 거야 아무 망설임 없이 그땐 우린 더 행복할 꺼야 다른 사람과 있던 너 내 가슴 부숴 버렸지 언젠가 니가 다시 사랑에 빠지게 되면 나의 외로움 이젠 지워 버릴 거야 한때 우린 밤새 깨어 있었지 그땐 우린 서로 불안했었지 그런 사랑 다신 못할 꺼야 너 같은 여자 이젠 만날 수 없을 꺼야 나의 여인아 돌아온다면 난 달려갈 거야 아무 망설임 없이 그땐 우린 더 행복할꺼야 늦지 않았어 내게 돌아와 기다리는 나에게 날 믿어줘 돌아온다면 난 달려갈 거야 아무 망설임 없이 그땐 우린 더 행복할 꺼야 
18,다른 길로 갔다면,<인디>다른 길로 갔다면 아직 여기 있을까 지금 이대로가 내겐 너무 소중해 그땐 난 너무 방황했었지 길을 잃어버렸네 다른 길로 갔다면 난 행복했을까 내가 지금 어디로 가고 있는지 하지만 난 이미 알고 있지 내가 꿈꾸던 그곳 헤어날 수 없는 마음 벗어날 수 없던 나의 외로움 가슴 깊이 스며들던 지나버린 아픈 기억 이젠 모두 잊어버려 다른 길로 갔다면 다른 길로 갔다면 사랑을 찾았을까 내가 찾은 이 사랑처럼 아름다울까 다른 길로 갔다면 내 꿈을 이룰 수 있을까 내가 바라던 그곳 돌이킬 수 없는 시절 기억하기 싫은 새로운 나에게 찾아오던 아픈 밤들 마치 잊혀진 악몽처럼 이젠 모두 잊어버려 다른 길로 갔다면 헤어날 수 없는 마음 벗어날 수 없던 나의 외로움 가슴 깊이 스며들던 지나버린 아픈 기억 이젠 모두 잊어버려 다른 길로 갔다면 
20,Felt Like Forever,<인디> 나 홀로 길을 걸을 땐 아무도 없고 오직 나의 영혼 외로움이 찾아올 땐 난 자유로워 너의 고운 미소에 내게 소중한 너이기에 너의 따뜻함이 그리울 땐 바쁜 일상이 나의 친구 네게 사랑이 떠나갈 땐 이젠 아름다워 너를 찾은 기쁨 내게 소중한 너이기에 내게 소중한 너이기에 내게 소중한 너이기에 
21,Before It's Too Late,<인디>다시 찾아온 새벽 햇살은 그녀의 얼굴에 오늘 그댄 어제처럼 변함없이 눈이 부셔 하지만 우린 깨어있어야 할 이 시간 저 부는 바람같이 가버릴 시간 아름다운 순간 지금 내 품에 그녀 사랑에 빠진 우리 그리고 난 난 알고 있지 이 행복은 영원하진 않아 
22,My Time,<인디>계속 상상 하고있어 계속 내 속에 네가 살고 있어 난 너의 영웅이고 싶지만 생각은 좋아보이지만 내가 만든 그림은 완벽하지만 네가 난데없이 나타났어 계속 실패하잖아 내 머릿속에 있는 말이 제대로 안 나와 너무 뻔해 주로 판타지는 내가 만들어낸 스토리안엔 계속 상상 하고있어 계속 내 속에 네가 살고 있어 네가 내게 빠지길 바래 하지만 행운은 내 편이 아니었어 계속 실패하잖아 내 머릿속에 있는 말이 제대로 안 나와 너무 뻔해 주로 판타지는 내가 만들어낸 스토리안엔 너의 화려한 모습을 보면 난 어쩔 줄 몰라 너무 뻔해 역시 판타지는 이러다 우린 절대로 계속 실패하잖아 내 머릿속에 있는 말이 제대로 안 나와 너무 뻔해 주로 판타지는 내가 만들어낸 스토리안엔 
23,Destiny,<인디> 내게 온 그대 진정 꿈은 아니겠죠 모든 것은 예정대로 이루어진 것을 시간이 된 것뿐 이제 알아 그대에게 가는 길 쉬운 길은 아니겠지 얼마나 그리운지 내 맘 가득 그대 향한 나의 사랑으로 아름다운 그대 모습 잊을 수 없어 난 어떻게 하나 내 맘을 그대에게 드려요 내게 사랑을 주세요 날 받아주세요 이젠 그대 난 보낼 수가 없어요 아름다운 그댈 난 잊을 수가 없어요 내 손을 잡아요 함께 춤을 춰요 나를 그대 곁에 있게 해주세요 내게 들려주는 아름다운 너의 얘기들 내 마음속에 사랑으로 남아있어요 함께 하고 싶어요 그대 마음을 내게 보여 주세요 그대 무슨 말을 할까요 난 모르겠어요 내 손을 잡아요 함께 춤을 춰요 나를 그대 곁에 있게 해주세요 내 손을 잡아요 함께 춤을 춰요 나를 그대 곁에 있게 해주세요 
26,소녀(小女),<인디>또다시 시작이군 난 다시 슬퍼지네 나의 외로움은 벌써 나를 계속 괴롭히네 밖에 나가고 싶지 않아 걸어 다니는 커플들 보면 내가 가질 수 없는 것을 떠오르게 하네 이런 딜레마는 계속 내게 다가와 이렇게 살아갈 순 없어 나는 사랑을 나누고 싶어 혼자 간직하긴 외로워 내겐 너무 과분한 그 소녀와 있고 싶어 그녀와 를 하고 싶어 그녀의 손을 붙잡으며 가끔은 토라지는 그녀 얼굴도 보고 싶어 단지 진정한 사랑을 그 소녀와 하고 싶어 또다시 시작이군 난 다시 슬퍼지네 나의 절박함이 머릿속을 어지럽히네 보이는 수많은 사람들이 걸어 다니며 날 스쳐 가고 내가 꿈꿔온 소녀가 지나갔을지 몰라 이런 딜레마는 계속 내게 다가와 이렇게 살아갈 순 없어 나는 사랑을 나누고 싶어 혼자 간직하긴 외로워 내게 너무 과분한 그 소녀와 있고 싶어 그녀와 를 하고 싶어 그녀의 손을 붙잡으며 가끔은 토라지는 그녀 얼굴도 보고 싶어 난 단지 진정한 사랑을 그 소녀와 하고 싶어 나는 사랑을 나누고 싶어 혼자 간직하긴 외로워 내게 너무 과분한 그 소녀와 있고 싶어 너와 를 하고 싶어 너의 손을 붙잡으며 가끔은 토라지는 그녀 얼굴도 보고 싶어 난 단지 진정한 사랑을 그 소녀와 하고 싶어 난 단지 진정한 사랑을 그 소녀와 하고 싶어 난 단지 진정한 사랑을 그 소녀와 하고 싶어 
27,Can't Stop Loving You,<인디>그때 널 첨 봤을 때 너는 내게 다가와서 나의 외로움을 달래줄까 그건 내 착각이야 넌 너의 이상형을 원했던 거야 난 너의 이상형은 아냐 내가 다가가면 넌 나를 더 멀리하고 이제 그만 포기할까 해도 나도 모르는 그 어떤 것이 나를 괴롭게 해 이젠 너를 보내야만 하지만 내 마음을 어쩌란 말야 이제 어떻게 해도 어쩔 수가 없어 난 그대 돌아오지 않아도 날 보고 바보라고 놀려도 너를 사랑하는 마음뿐이야 난 너의 이상형은 아냐 내가 다가가면 넌 나를 더 멀리하고 이제 그만 포기할까 해도 나도 모르는 그 어떤 것이 나를 괴롭게 해 이젠 너를 보내야만 하지만 내 마음을 어쩌란 말야 난 너의 이상형은 아냐 내가 다가가면 넌 나를 더 멀리하고 이제 그만 포기할까 해도 나도 모르는 그 어떤 것이 나를 괴롭게 해 이젠 너를 보내야만 하지만 내 마음을 어쩌란 말야
32,Better Than Me,<인디>요즘 난 해 저무는 바다 바라보며 생각에 잠기네 한 동안 잊혀진 지나간 시간들을 회상하며 잃어버린 내 시간들 바삐 달리는 세상 자고 있던 내 영혼 깨워 일으켜 세워야지 도저히 참을 수 없어서 더 나은 나를 위해 오늘 그때까지 혼자 일어나 자신있게 말할거야 요즘 난 온종일 브라우징하면서 혼자 상상하지 모든 것 나를 위해 존재 하는 것 같아 만일 맞다면 나는 왜 아직 이럴까 바삐 달리는 세상 자고 있던 내 영혼 깨워 일으켜 세워야지 도저히 참을 수 없어서 더 나은 나를 위해 오늘 그때까지 혼자 일어나 자신있게 말할거야 더 나은 나를 위해 오늘 더 나은 나를 위해 오늘 그때까지 혼자 일어나 자신있게 말할거야 더 나은 나를 위해 오늘 그때까지 혼자 일어나 자신있게 내게 말할거야 
33,This Game,<인디> 여기 내가 돌아왔어 이제 다시 시작이야 답을 찾았다고 생각했는데 아직 완벽하진 않아 그들은 나의 슬픔을 즐기며 여전히 비웃고 있겠지 탐욕스런 그들이 아직 내 세상에 머물고 있어 하지만 괜찮아 그들이 이 게임에서 이기게 놔둬 처음엔 아프지만 그들은 조롱거리가 될거야 내 아픔을 똑같이 느낄거야 그 날을 기다리고 있어 언젠가 내가 다시 정상에 오르게 되면 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내가 약해지고 있어 무릎을 꿇고 말았어 세상은 희미해 보이고 무엇이 진짜인지 알 수가 없네 이젠 자신이 없어 모든게 부숴지고 말았어 그리고 탐욕스런 그들이 아직 내 세상에 머물고 있어 하지만 괜찮아 그들이 이 게임에서 이기게 놔둬 처음엔 아프지만 그들은 조롱거리가 될거야 내 아픔을 똑같이 느낄거야 그 날을 기다리고 있어 언젠가 내가 다시 정상에 오르게 되면 내 아픔을 똑같이 느낄거야 늘 뭔가 빠진 느낌이야 내가 얻었다고 생각했던 그 세상이 자꾸만 내게서 멀어져 가고 언젠가 그것을 다시 돌이킨다 해도 다시 잃게 될거야 하지만 잠깐일 뿐이야 그들이 이 게임에서 이기게 놔둬 처음엔 아프지만 그들은 조롱거리가 될거야 내 아픔을 똑같이 느낄거야 그 날을 기다리고 있어 언젠가 내가 다시 정상에 오르게 되면 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야 내 아픔을 똑같이 느낄거야
37,No One Told Me Why,<인디> 내 맘을 내가 알 수 없는 건 어째서인지 왠지 이대로 사라져도 넌 모를 것만 같아 난 항상 무너질 것들과 이미 지나가 버린 날들을 붙잡는 건지 나를 사랑한다면 이젠 알려줘 너무 늦지 않게 나를 사랑해줘 나를 가르는 바람에 떠밀려 가 나를 사랑해줘 저기 슬픔을 지나는 아이처럼 나를 내버려 두지는 말아줘 지독한 장난 이제는 그만둬 이젠 정말 충분해 나를 사랑한다면 이젠 알려줘 너무 늦지 않게 나를 사랑해줘 나를 가르는 바람에 떠밀려 가 나를 사랑해줘 저기 슬픔을 지나는 아이처럼 나를 내버려 두지는 말아줘 나를 가르는 바람에 떠밀려 가 나를 사랑해줘 저기 슬픔을 지나는 아이처럼 나를 내버려 두지는 말아줘 나를 가르는 바람에 떠밀려 가 나를 사랑해줘 저기 슬픔을 지나는 아이처럼 나를 내버려 두지는 말아줘 
39,순애보,<인디>네가 전부였던 날엔 난 대단한 사람이 되어서 너의 눈에 띄고 싶었어 난 그랬어 사소한 모든 것에서 널 찾아내고 싶었어 그렇게 내 외로움은 깊어져 갔지 어수선한 날에 수선화 한쪽 배 띄워서 너에게 보내고 싶어 그 다음에 너에게 말하고 싶어 널 좋아한다고 보고 싶은 날엔 봉숭아 물들여 눈 내리는 겨울이 오면 너의 손을 잡고 나 걷고 싶어 너를 눈에 담은 날엔 세상은 다르게만 보여서 멋진 꿈을 꾸고는 했어 난 그랬어 사소한 모든 것에서 널 찾아내고 싶었어 그렇게 내 외로움은 깊어져 갔지 어수선한 날에 수선화 한쪽 배 띄워서 너에게 보내고 싶어 그 다음에 너에게 말하고 싶어 널 좋아한다고 보고 싶은 날엔 봉숭아 물들여 눈 내리는 겨울이 오면 너의 손을 잡고 나 걷고 싶어 사랑에 빠지고 전하지 못했던 마음이 아직 여기에 있어 이 마음을 너에게 말하고 싶어 널 좋아한다고 보고 싶은 날엔 봉숭아 물들여 눈 내리는 겨울이 오면 너의 손을 잡고 나 걷고 싶어 어수선한 날에 수선화 한쪽 배 띄워서 너에게 보내고 싶어 그 다음에 너에게 말하고 싶어 널 좋아한다고 보고 싶은 날엔 봉숭아 물들여 눈 내리는 겨울이 오면 너의 손을 잡고 나 걷고 싶어
40,Instant Lover,<인디> 쉽게 사랑하고 쉽게 헤어지는 나 할 말 있어 내가 잘못했어 참 미안해 그래도 나 이제 떠나야 해 순간의 진심으로 대해서 미안해 그래도 나 진심이야 정말 행복했어 순간의 진심도 사랑이라 말해준 널 사랑해 널 좋아해 이제 그만 갈게 멋진 사랑하고 미련 없이 가는 나 할 말 있어 내가 잘못했어 참 미안해 그래도 나 이제 떠나야 해 순간의 진심으로 대해서 미안해 그래도 나 진심이야 정말 행복했어 순간의 진심도 사랑이라 말해준 널 사랑해 참 좋아해 이제 그만 갈게 우린 사랑이야 사랑이니 이만 새 사랑하자 순간의 진심으로 대해서 미안해 그래도 나 진심이야 정말 행복했어 순간의 진심도 사랑이라 말해준 널 사랑해 참 좋아해 이제 그만 갈게 
41,우리가 바라는 우리의 모습은,<인디>우리 나눈 몇 마디에 마음이 불탔어 몇 가지 공통점에 서로가 취해서 우린 사랑하고 또 보여주기 바빴지 아아 아아 아마 처음부터 우린 내리막길 시작의 진심은 거짓말이 되었고 무미건조한 일상으로 돌아온 우린 똑같은 실수를 해 우리가 바라는 우리의 모습은 사랑 없이는 안 된다는 걸 알기에 그럼에도 사랑이 뭔지 몰라서 헤매고 헤매고 헤매고 또 헤매지 사랑은 뭐다 뭐다 모두 헷갈려하네 이러쿵 저러쿵 떠들어대네 사랑은 영원한 숙제 받아쓰기보다 어려운 거니까 우리가 바라는 우리의 모습은 사랑 없이는 안 된다는 걸 알기에 그럼에도 사랑이 뭔지 몰라서 헤매고 헤매고 헤매고 또 헤매지 우리가 바라는 우리의 모습은 사랑 없이는 안 된다는 걸 알기에 그럼에도 사랑이 뭔지 몰라서 헤매고 헤매고 헤매고 또 헤매지 우리가 바라는 우리의 모습은 사랑 없이는 안 된다는 걸 알기에 그럼에도 사랑이 뭔지 몰라서 헤매고 헤매고 헤매고 또 헤매지
42,Fall in Love Again,<인디> 그래서 난 마음먹었지 선택은 딱히 어렵지 않으니까 그 시절의 나는 참 어렸나 봐 내 마음이 선택받는 게 어려운 줄도 모르고 더 이상 쉽지 않다고 느껴 날 다시 사랑에 빠질 수 있는 그 때로 날 다시 사랑에 빠질 수 있는 그 때로 난 증명하려 했던 거야 사랑하면 되돌려 받을 수 있단 걸 난 달아날 수 없던 거야 얼마나 힘들어질 줄 알면서도 여름이 지나고 겨울이 흘러서 내 맘은 예전 같지 않다고 진심을 말하고 말해도 알아주지 않는다면 사랑할 수 없다는 걸 날 다시 사랑에 빠질 수 있는 그 때로 날 다시 사랑에 빠질 수 있는 그 때로 날 다시 사랑에 빠질 수 있는 그 때로 날 다시 사랑에 빠질 수 있는 그 때로 
43,네가 사랑한 것들을 기억할게,<인디>네가 사랑한 것들을 기억할게 함께 기다릴게 영원한 사랑을 침묵을 지킬 때 이해할게 이제서야 네 마음을 훑어보는 날 용서해 많이 미안해 네가 지내온 것들을 알 수 없던 나야 살아내 더 많이 사랑할 네 모습 낯설지 않게 깊은 추억에 빠진 널 위로할게 허락해준다면 그래준다면 다정한 표정을 지어줄게 이제서야 네 마음을 훑어보는 날 용서해 많이 미안해 네가 지내온 것들을 알 수 없던 나야 살아내 더 많이 사랑할 네 모습 낯설지 않게 사랑해 사랑해 사랑해 널 위한 말이야 살아내 그래야만 해 지금까지 정말 힘들었겠지만 사랑해 많이 미안해 네가 지내온 것들을 알 수 없던 나야 살아내 더 많이 사랑할 네 모습 낯설지 않게 사랑해 많이 미안해 네가 지내온 것들을 알 수 없던 나야 살아내 더 많이 사랑할 네 모습 낯설지 않게 네 모습 낯설지 않게
44,창문,<인디>이른 아침에 눈떠 오늘의 날씨는 흐려 비가 오면 아무것도 못 하겠지 난 이런 마음을 높여 하늘 빛을 겨우 닮았어 애써 구름 위에 걸쳐져 있지 나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래 얘는 왠지 비를 좋아하니까 말야 밖에서 비를 맞게 할래 슬픔을 가지런히 개어두고 집 밖을 나와 걸었어 먹구름이 몰려오기 전까지 말야 나를 아무도 아니게 만드는 나는 밖에 두고 들어왔어 문을 두드려도 열어주면 안되지 나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래 얘는 왠지 비를 좋아하니까 말야 밖에서 비를 맞게 할래 창 밖에 서성이는 내 모습 안쓰러워 개어놓은 슬픔을 입으라고 던져줬네 나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래 얘는 왠지 비를 좋아하니까 말야 밖에서 비를 맞게 할래
45,Hope,<인디> 나를 빛내줘요 오 나에게 나도 모르는 새 약속해요 멈추지 않는 희망을 노래하기로 원하는 만큼 더 가져가도 돼요 소중한 마음아 더 빛나줘 오 나에게 나도 모르는 새 약속해요 멈추지 않는 희망을 노래하기로 약속해요 멈추지 않는 희망을 노래하기로 나를 빛내줘요 
46,바람들,<인디>어디로도 가지 못하는 나는 슬픔에 차서 외로운 해변을 거닐고 있어 기나긴 하루를 버티고 있어 조용히 널 생각하면서 아 변한 건 아무것도 아 내가 원했던 건 서로에 대한 이해와 아름다운 시간들 하지만 모든 게 헛된 바람들 나에게 남은 건 너의 향기뿐 숨을 쉬면 차오르는 너의 모습에 난 어쩌지도 저쩌지도 못하고 바람이 불기만 기다려 아 변한 건 아무것도 아 내가 원했던 건 서로에 대한 이해와 아름다운 시간들 하지만 모든 게 헛된 바람들 내 마음 부서지는 소리는 파도에 휩쓸려 너에게 들리지 않고 바람 불어오면 난 불안해져 네가 돌아올까 봐 너를 사랑했던 날들과 너에게 닿지 못할 내 마음이 바람에 흩어졌으면 좋겠어 너를 내몰아 보아도 다시 돌아오는 너인데 바람이 널 데려갔으면 좋겠어 아변한 건 아무것도 아내가 원했던 건 서로에 대한 이해와 아름다운 시간들 하지만 모든 게 헛된 바람들 이제는 바람에 흩어져 버렸네
